campaniaCodigo,clienteNumeroDocumento,monto,tasa,fechaOferta,estado
CAMP-2025-08-TARJETA_CREDITO,10101011,10507.10,31.25,2025-08-14,ACEPTADA
CAMP-2025-08-TARJETA_CREDITO,10101038,14253.48,27.06,2025-08-05,ACTIVA
CAMP-2025-08-TARJETA_CREDITO,10101052,8754.93,30.38,2025-08-21,ACEPTADA
CAMP-2025-08-TARJETA_CREDITO,2010000038,8340.10,28.63,2025-08-29,ACEPTADA
CAMP-2025-08-TARJETA_CREDITO,10101031,4057.51,25.38,2025-08-25,ACEPTADA
CAMP-2025-08-TARJETA_CREDITO,10101046,9156.52,32.28,2025-08-24,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101010,11756.10,15.43,2025-08-28,ACTIVA
CAMP-2025-08-PRESTAMO_PERSONAL,10101035,12303.42,16.49,2025-08-09,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101024,24636.27,11.29,2025-08-25,ACTIVA
CAMP-2025-08-PRESTAMO_PERSONAL,10101054,23553.20,12.37,2025-08-28,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101023,24272.54,18.49,2025-08-10,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101055,15504.34,11.39,2025-08-05,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101031,11602.98,18.11,2025-08-30,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101053,11202.22,12.16,2025-08-19,ACTIVA
CAMP-2025-08-PRESTAMO_PERSONAL,2010000018,11003.97,12.24,2025-08-16,ACTIVA
CAMP-2025-08-PRESTAMO_PERSONAL,10101037,20495.01,15.54,2025-08-21,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101016,14137.22,14.18,2025-08-29,ACTIVA
CAMP-2025-08-PRESTAMO_PERSONAL,CE100034,34523.93,10.08,2025-08-01,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,CE100031,39191.83,16.31,2025-08-25,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101051,41390.24,11.12,2025-08-07,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101052,27416.07,17.64,2025-08-24,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,2010000023,19884.72,18.65,2025-08-01,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101042,29024.05,14.32,2025-08-30,ACTIVA
CAMP-2025-08-PRESTAMO_PERSONAL,2010000047,37974.71,11.33,2025-08-05,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101043,30195.27,10.09,2025-08-22,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101021,13332.03,17.69,2025-08-05,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101014,28833.39,19.45,2025-08-15,ACTIVA
CAMP-2025-08-PRESTAMO_PERSONAL,10101029,23100.61,12.91,2025-08-09,ACTIVA
CAMP-2025-08-PRESTAMO_PERSONAL,10101025,33355.33,18.08,2025-08-21,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101045,19236.48,19.43,2025-08-08,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,2010000005,21774.05,17.63,2025-08-01,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101038,49536.29,14.22,2025-08-06,ACTIVA
CAMP-2025-08-PRESTAMO_PERSONAL,10101011,18283.15,14.30,2025-08-08,ACTIVA
CAMP-2025-08-PRESTAMO_PERSONAL,10101040,21092.29,12.05,2025-08-16,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,2010000038,40125.41,10.26,2025-08-02,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101012,38037.19,14.56,2025-08-04,ACTIVA
CAMP-2025-08-PRESTAMO_PERSONAL,CE100048,32846.48,10.69,2025-08-17,ACTIVA
CAMP-2025-08-PRESTAMO_PERSONAL,10101018,46424.43,10.17,2025-08-09,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101026,22714.45,18.65,2025-08-05,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101034,34106.13,14.80,2025-08-17,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101020,41281.56,13.08,2025-08-24,ACTIVA
CAMP-2025-08-PRESTAMO_PERSONAL,2010000040,13681.39,13.88,2025-08-19,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101027,27823.58,17.24,2025-08-22,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,CE100039,27635.61,10.10,2025-08-10,ACTIVA
CAMP-2025-08-PRESTAMO_PERSONAL,10101030,43820.29,12.13,2025-08-29,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101019,37222.13,12.80,2025-08-24,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,10101046,20464.07,12.40,2025-08-29,ACEPTADA
CAMP-2025-08-PRESTAMO_PERSONAL,2010000037,46305.90,19.77,2025-08-05,ACTIVA
CAMP-2025-08-COMPRA_DEUDA_PP,CE100048,41772.97,11.34,2025-08-15,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,2010000022,38417.06,10.56,2025-08-21,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,10101010,27624.83,12.46,2025-08-26,ACTIVA
CAMP-2025-08-COMPRA_DEUDA_PP,10101043,56978.34,12.28,2025-08-24,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,10101053,35477.37,10.57,2025-08-03,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,10101011,25044.59,9.66,2025-08-27,ACTIVA
CAMP-2025-08-COMPRA_DEUDA_PP,10101045,61472.48,13.43,2025-08-24,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,10101019,20125.46,13.95,2025-08-31,ACTIVA
CAMP-2025-08-COMPRA_DEUDA_PP,2010000023,40535.38,11.15,2025-08-16,ACTIVA
CAMP-2025-08-COMPRA_DEUDA_PP,10101029,64425.44,11.67,2025-08-07,ACTIVA
CAMP-2025-08-COMPRA_DEUDA_PP,10101037,26921.93,10.23,2025-08-07,ACTIVA
CAMP-2025-08-COMPRA_DEUDA_PP,10101052,45188.61,10.69,2025-08-12,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,10101018,67488.48,8.36,2025-08-16,ACTIVA
CAMP-2025-08-COMPRA_DEUDA_PP,10101034,44694.49,14.37,2025-08-23,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,10101042,41614.83,9.31,2025-08-26,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,2010000047,61282.84,11.83,2025-08-20,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,10101055,42890.70,11.00,2025-08-04,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,2010000038,47774.16,14.29,2025-08-16,ACTIVA
CAMP-2025-08-COMPRA_DEUDA_PP,10101016,70209.10,14.47,2025-08-11,ACTIVA
CAMP-2025-08-COMPRA_DEUDA_PP,10101023,52647.66,12.61,2025-08-09,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,10101059,23604.77,12.76,2025-08-24,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,10101025,58878.69,14.78,2025-08-18,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,2010000012,44192.39,13.11,2025-08-11,ACTIVA
CAMP-2025-08-COMPRA_DEUDA_PP,10101026,37678.04,14.87,2025-08-24,ACTIVA
CAMP-2025-08-COMPRA_DEUDA_PP,10101024,60110.57,10.75,2025-08-03,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,10101035,63513.62,14.80,2025-08-22,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,2010000029,44827.52,12.87,2025-08-08,ACTIVA
CAMP-2025-08-COMPRA_DEUDA_PP,CE100039,45196.37,8.07,2025-08-28,ACTIVA
CAMP-2025-08-COMPRA_DEUDA_PP,10101014,70267.52,9.52,2025-08-05,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,2010000040,63357.52,8.18,2025-08-31,ACTIVA
CAMP-2025-08-COMPRA_DEUDA_PP,2010000037,64996.37,13.68,2025-08-05,ACTIVA
CAMP-2025-08-COMPRA_DEUDA_PP,10101040,45448.68,8.84,2025-08-31,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,10101021,33067.64,13.61,2025-08-21,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,2010000005,62145.69,9.65,2025-08-29,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,10101030,16178.07,8.10,2025-08-18,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,2010000018,20617.53,13.41,2025-08-08,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,10101012,27211.52,9.26,2025-08-16,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,CE100003,58072.79,14.23,2025-08-02,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,10101017,63243.38,11.03,2025-08-30,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,10101036,39590.40,8.81,2025-08-01,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,CE100034,56191.65,12.33,2025-08-17,ACEPTADA
CAMP-2025-08-COMPRA_DEUDA_PP,10101056,29740.88,11.36,2025-08-06,ACTIVA
CAMP-2025-08-ADELANTO_SUELDO,10101017,1397.81,8.56,2025-08-10,ACTIVA
CAMP-2025-08-ADELANTO_SUELDO,10101055,2002.37,11.74,2025-08-20,ACTIVA
CAMP-2025-08-ADELANTO_SUELDO,10101025,7105.83,6.20,2025-08-31,ACTIVA
CAMP-2025-08-ADELANTO_SUELDO,2010000012,2976.28,9.69,2025-08-02,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,10101024,7106.76,6.02,2025-08-11,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,2010000037,6213.70,11.40,2025-08-18,ACTIVA
CAMP-2025-08-ADELANTO_SUELDO,10101043,1259.71,8.56,2025-08-30,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,10101026,6810.37,7.41,2025-08-26,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,10101056,4679.19,8.79,2025-08-25,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,CE100003,7078.92,6.31,2025-08-28,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,10101054,3465.54,8.30,2025-08-10,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,2010000023,7500.69,10.44,2025-08-22,ACTIVA
CAMP-2025-08-ADELANTO_SUELDO,10101012,3488.07,5.79,2025-08-08,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,10101035,1278.88,11.73,2025-08-16,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,10101042,5034.67,5.21,2025-08-08,ACTIVA
CAMP-2025-08-ADELANTO_SUELDO,10101020,4376.28,10.88,2025-08-08,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,10101029,1068.49,8.46,2025-08-11,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,10101018,7913.44,5.06,2025-08-24,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,10101051,6189.16,7.49,2025-08-10,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,10101034,4089.55,9.30,2025-08-06,ACTIVA
CAMP-2025-08-ADELANTO_SUELDO,10101052,2919.76,9.98,2025-08-29,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,10101045,5783.80,9.45,2025-08-01,ACTIVA
CAMP-2025-08-ADELANTO_SUELDO,10101046,6933.13,5.85,2025-08-17,ACTIVA
CAMP-2025-08-ADELANTO_SUELDO,2010000005,6370.33,5.64,2025-08-10,ACTIVA
CAMP-2025-08-ADELANTO_SUELDO,CE100048,5779.34,10.42,2025-08-28,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,CE100031,7514.44,7.42,2025-08-19,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,10101031,6048.12,11.76,2025-08-22,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,10101027,4147.66,10.30,2025-08-18,ACTIVA
CAMP-2025-08-ADELANTO_SUELDO,2010000047,6548.59,9.51,2025-08-15,ACTIVA
CAMP-2025-08-ADELANTO_SUELDO,10101059,2821.11,8.92,2025-08-23,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,2010000029,7741.00,11.56,2025-08-18,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,10101011,4657.05,10.77,2025-08-08,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,10101053,4801.14,10.15,2025-08-06,ACTIVA
CAMP-2025-08-ADELANTO_SUELDO,10101040,6306.32,9.87,2025-08-02,ACTIVA
CAMP-2025-08-ADELANTO_SUELDO,2010000040,1382.58,11.33,2025-08-18,ACTIVA
CAMP-2025-08-ADELANTO_SUELDO,10101019,7345.33,11.17,2025-08-22,ACTIVA
CAMP-2025-08-ADELANTO_SUELDO,10101037,5656.73,5.07,2025-08-08,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,2010000022,3890.93,6.86,2025-08-15,ACTIVA
CAMP-2025-08-ADELANTO_SUELDO,10101030,7097.77,6.74,2025-08-11,ACEPTADA
CAMP-2025-08-ADELANTO_SUELDO,CE100039,3738.91,10.78,2025-08-07,ACTIVA
CAMP-2025-08-ADELANTO_SUELDO,10101016,3641.89,6.23,2025-08-26,ACTIVA
CAMP-2025-08-ADELANTO_SUELDO,10101010,7902.29,7.19,2025-08-28,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,2010000029,38444.52,4.80,2025-08-21,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,10101029,62312.87,6.76,2025-08-23,ACTIVA
CAMP-2025-08-DEPOSITO_PLAZO,10101035,56518.00,6.50,2025-08-18,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,10101042,26181.42,6.64,2025-08-11,ACTIVA
CAMP-2025-08-DEPOSITO_PLAZO,10101010,91813.47,6.51,2025-08-15,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,10101011,18914.00,6.06,2025-08-24,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,2010000018,43694.93,3.12,2025-08-23,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,10101034,32047.07,6.88,2025-08-26,ACTIVA
CAMP-2025-08-DEPOSITO_PLAZO,10101052,71890.29,6.86,2025-08-22,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,10101054,37373.10,4.61,2025-08-30,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,2010000037,99874.26,4.15,2025-08-15,ACTIVA
CAMP-2025-08-DEPOSITO_PLAZO,CE100031,59475.86,5.80,2025-08-30,ACTIVA
CAMP-2025-08-DEPOSITO_PLAZO,CE100034,94239.73,6.22,2025-08-04,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,CE100039,49674.12,4.43,2025-08-21,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,10101037,68078.76,5.86,2025-08-12,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,10101020,92454.86,4.69,2025-08-04,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,2010000022,38657.55,6.43,2025-08-23,ACTIVA
CAMP-2025-08-DEPOSITO_PLAZO,10101027,31665.78,5.35,2025-08-17,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,2010000005,26237.89,5.05,2025-08-30,ACTIVA
CAMP-2025-08-DEPOSITO_PLAZO,10101056,19730.14,3.88,2025-08-16,ACTIVA
CAMP-2025-08-DEPOSITO_PLAZO,10101012,51447.88,4.09,2025-08-12,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,10101030,85077.86,4.47,2025-08-18,ACTIVA
CAMP-2025-08-DEPOSITO_PLAZO,10101014,42057.17,3.03,2025-08-29,ACTIVA
CAMP-2025-08-DEPOSITO_PLAZO,2010000012,38155.28,4.04,2025-08-25,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,CE100048,47067.59,5.25,2025-08-21,ACTIVA
CAMP-2025-08-DEPOSITO_PLAZO,CE100003,21117.64,4.09,2025-08-19,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,10101018,12121.25,5.30,2025-08-15,ACTIVA
CAMP-2025-08-DEPOSITO_PLAZO,10101053,32207.70,5.21,2025-08-14,ACTIVA
CAMP-2025-08-DEPOSITO_PLAZO,10101038,5242.20,6.79,2025-08-08,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,10101043,45341.52,5.36,2025-08-28,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,10101059,30391.40,5.55,2025-08-18,ACTIVA
CAMP-2025-08-DEPOSITO_PLAZO,10101026,84781.72,3.93,2025-08-18,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,10101045,62322.02,4.83,2025-08-08,ACTIVA
CAMP-2025-08-DEPOSITO_PLAZO,10101017,81402.50,5.59,2025-08-05,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,10101040,83429.08,3.14,2025-08-15,ACTIVA
CAMP-2025-08-DEPOSITO_PLAZO,10101024,75516.71,5.37,2025-08-20,ACTIVA
CAMP-2025-08-DEPOSITO_PLAZO,10101016,8575.30,4.33,2025-08-05,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,10101036,66395.02,3.90,2025-08-06,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,10101019,80600.66,4.07,2025-08-14,ACEPTADA
CAMP-2025-08-DEPOSITO_PLAZO,10101031,32569.36,4.00,2025-08-10,ACTIVA
CAMP-2025-08-DEPOSITO_PLAZO,10101021,86331.63,3.10,2025-08-28,ACTIVA
CAMP-2025-08-DEPOSITO_PLAZO,10101023,12577.08,5.36,2025-08-04,ACTIVA
CAMP-2025-08-EXTRALINEA,10101035,5883.29,12.32,2025-08-01,ACEPTADA
CAMP-2025-08-EXTRALINEA,10101010,21350.93,18.24,2025-08-20,ACTIVA
CAMP-2025-08-EXTRALINEA,10101020,29406.17,13.22,2025-08-05,ACEPTADA
CAMP-2025-08-EXTRALINEA,10101030,21481.25,16.97,2025-08-07,ACTIVA
CAMP-2025-08-EXTRALINEA,10101045,10015.38,16.35,2025-08-12,ACEPTADA
CAMP-2025-08-EXTRALINEA,2010000029,16419.06,21.05,2025-08-12,ACTIVA
CAMP-2025-08-EXTRALINEA,10101027,28129.64,18.61,2025-08-31,ACEPTADA
CAMP-2025-08-EXTRALINEA,10101021,20022.82,16.77,2025-08-07,ACTIVA
CAMP-2025-08-EXTRALINEA,2010000037,6958.59,20.67,2025-08-24,ACEPTADA
CAMP-2025-08-EXTRALINEA,CE100048,29300.79,13.62,2025-08-21,ACEPTADA
CAMP-2025-08-EXTRALINEA,10101011,18764.37,16.26,2025-08-19,ACTIVA
CAMP-2025-08-EXTRALINEA,2010000040,11592.40,17.75,2025-08-07,ACEPTADA
CAMP-2025-08-EXTRALINEA,10101051,6915.68,20.98,2025-08-08,ACEPTADA
CAMP-2025-08-EXTRALINEA,10101025,8105.41,16.56,2025-08-11,ACTIVA
CAMP-2025-08-EXTRALINEA,10101055,10785.77,19.92,2025-08-18,ACEPTADA
CAMP-2025-08-EXTRALINEA,CE100003,13660.78,20.88,2025-08-10,ACTIVA
CAMP-2025-08-EXTRALINEA,10101037,25197.12,18.32,2025-08-30,ACTIVA
CAMP-2025-08-EXTRALINEA,CE100039,15778.49,18.69,2025-08-22,ACEPTADA
CAMP-2025-08-EXTRALINEA,10101059,22819.26,17.51,2025-08-07,ACTIVA
CAMP-2025-08-EXTRALINEA,10101012,11828.12,15.00,2025-08-11,ACTIVA
CAMP-2025-08-EXTRALINEA,10101046,6424.22,18.68,2025-08-26,ACEPTADA
CAMP-2025-08-EXTRALINEA,10101017,23434.88,12.55,2025-08-13,ACEPTADA
CAMP-2025-08-EXTRALINEA,2010000022,7944.42,21.33,2025-08-16,ACTIVA
CAMP-2025-08-EXTRALINEA,10101038,7349.37,15.68,2025-08-31,ACTIVA
CAMP-2025-08-EXTRALINEA,10101016,5193.44,21.41,2025-08-31,ACEPTADA
CAMP-2025-08-EXTRALINEA,10101053,7148.96,18.21,2025-08-25,ACEPTADA
CAMP-2025-08-EXTRALINEA,2010000023,9353.58,12.61,2025-08-10,ACTIVA
CAMP-2025-08-EXTRALINEA,2010000012,15033.07,16.24,2025-08-21,ACEPTADA
CAMP-2025-08-EXTRALINEA,CE100031,9237.91,19.67,2025-08-03,ACEPTADA
CAMP-2025-08-EXTRALINEA,2010000005,7687.36,15.70,2025-08-10,ACEPTADA
CAMP-2025-08-EXTRALINEA,2010000018,11151.62,14.08,2025-08-17,ACEPTADA
CAMP-2025-08-EXTRALINEA,10101054,19794.68,20.51,2025-08-05,ACTIVA
CAMP-2025-08-EXTRALINEA,10101026,14496.97,14.12,2025-08-21,ACTIVA
CAMP-2025-08-EXTRALINEA,10101036,25508.14,12.23,2025-08-27,ACEPTADA
CAMP-2025-08-EXTRALINEA,10101031,5695.51,18.55,2025-08-15,ACEPTADA
CAMP-2025-08-EXTRALINEA,10101034,17049.21,18.63,2025-08-14,ACEPTADA
CAMP-2025-08-EXTRALINEA,10101014,7249.90,15.48,2025-08-15,ACEPTADA
CAMP-2025-08-EXTRALINEA,2010000038,17915.11,14.42,2025-08-22,ACTIVA
CAMP-2025-08-EXTRALINEA,10101018,8908.96,17.32,2025-08-02,ACEPTADA
CAMP-2025-08-EXTRALINEA,10101019,8662.60,13.33,2025-08-05,ACTIVA
CAMP-2025-08-EXTRALINEA,10101024,18647.14,19.32,2025-08-18,ACTIVA
CAMP-2025-08-EXTRALINEA,10101023,27268.68,20.69,2025-08-15,ACTIVA
CAMP-2025-08-CREDITO,10101027,304077.44,13.98,2025-08-16,ACEPTADA
CAMP-2025-08-CREDITO,10101034,462396.32,8.64,2025-08-13,ACTIVA
CAMP-2025-08-CREDITO,10101054,264536.31,12.19,2025-08-29,ACTIVA
CAMP-2025-08-CREDITO,10101037,163861.80,9.22,2025-08-01,ACEPTADA
CAMP-2025-08-CREDITO,10101010,392204.28,10.04,2025-08-20,ACTIVA
CAMP-2025-08-CREDITO,CE100039,400683.44,7.60,2025-08-14,ACTIVA
CAMP-2025-08-CREDITO,10101030,81294.06,7.85,2025-08-08,ACEPTADA
CAMP-2025-08-CREDITO,10101021,72033.79,13.42,2025-08-19,ACEPTADA
CAMP-2025-08-CREDITO,10101029,402703.38,9.99,2025-08-18,ACEPTADA
CAMP-2025-08-CREDITO,10101038,325531.82,13.87,2025-08-31,ACTIVA
CAMP-2025-08-CREDITO,10101011,219823.61,13.51,2025-08-08,ACEPTADA
CAMP-2025-08-CREDITO,2010000012,465154.92,13.64,2025-08-25,ACTIVA
CAMP-2025-08-CREDITO,CE100031,222346.79,7.28,2025-08-20,ACEPTADA
CAMP-2025-08-CREDITO,10101026,327688.78,9.41,2025-08-09,ACEPTADA
CAMP-2025-08-CREDITO,10101025,376626.64,9.53,2025-08-24,ACTIVA
CAMP-2025-08-CREDITO,10101045,228032.42,9.22,2025-08-03,ACEPTADA
CAMP-2025-08-CREDITO,CE100003,141760.83,13.32,2025-08-29,ACTIVA
CAMP-2025-08-CREDITO,10101014,54284.48,10.09,2025-08-10,ACTIVA
CAMP-2025-08-CREDITO,2010000029,260455.12,12.45,2025-08-05,ACTIVA
CAMP-2025-08-CREDITO,10101040,83480.96,7.50,2025-08-04,ACEPTADA
CAMP-2025-08-CREDITO,10101017,300790.02,11.30,2025-08-07,ACEPTADA
CAMP-2025-08-CREDITO,2010000037,296171.26,10.19,2025-08-20,ACEPTADA
CAMP-2025-08-CREDITO,10101046,375946.05,8.78,2025-08-30,ACEPTADA
CAMP-2025-08-CREDITO,10101036,62503.84,12.31,2025-08-29,ACTIVA
CAMP-2025-08-CREDITO,10101012,55255.65,11.14,2025-08-30,ACTIVA
