tipoDocumentoCodigo,numeroDocumento,primerNombre,segundoNombre,apellidoPaterno,apellidoMaterno,correo,telefono,segmentoCodigo,zonaCodigo,agenciaCodigo,canalCodigo,tipoClienteCodigo
DNI,10101046,Ricardo,,Chávez,Castro,ricardo.chavez@email.com,996433733,MASS,NORTE,AGC-LIMA-SURCO,TCONTAKTO,NATURAL
RUC,2010000037,Luis,,Ortiz,Castro,luis.ortiz@email.com,994931854,MASS,LIMA,AGC-NORTE-001,SEF,NATURAL
RUC,2010000038,Carmen,,Rojas,Castro,carmen.rojas@email.com,993535451,TOP_OF_MASS,OESTE,AGC-LIMA-SURCO,TGESTIONA,NATURAL
CE,CE100039,Raúl,,Ruiz,Romero,raul.ruiz@email.com,960751613,BEYOND,ESTE,AGC-SUR-001,TGESTIONA,NATURAL
RUC,2010000040,Andrés,,Moreno,García,andres.moreno@email.com,981750894,MASS,SUR,AGC-NORTE-001,TGESTIONA,NATURAL
DNI,10101051,Silvia,Rafael,López,Ramos,silvia.lopez@email.com,981032890,REGULAR,ESTE,AGC-LIMA-MOLINA,REACTIVO,NATURAL
DNI,10101052,Héctor,,Moreno,Martínez,hector.moreno@email.com,999380406,MASS,NORTE,AGC-SUR-001,BURO,NATURAL
DNI,10101053,Laura,,Peralta,López,laura.peralta@email.com,911592038,BEYOND,LIMA,AGC-SUR-001,O2O,NATURAL
DNI,10101054,Lorena,,Castro,Chávez,lorena.castro@email.com,914504356,MASS,ESTE,AGC-LIMA-SURCO,SEF,NATURAL
DNI,10101055,Isabel,,Ramos,Sánchez,isabel.ramos@email.com,923142483,BEYOND,ESTE,AGC-SUR-001,REACTIVO,JURIDICA
DNI,10101056,Ricardo,,Torres,Medina,ricardo.torres@email.com,996353991,BEYOND,ESTE,AGC-LIMA-001,TELEMARKETING,NATURAL
RUC,2010000047,Jorge,,Cruz,Chávez,jorge.cruz@email.com,964042454,PREMIUM,OESTE,AGC-LIMA-SURCO,MF,NATURAL
CE,CE100048,Pamela,Alberto,Romero,Moreno,pamela.romero@email.com,982845521,PREMIUM,NORTE,AGC-LIMA-002,SEF,NATURAL
DNI,10101059,Fernando,,Castillo,Castillo,fernando.castillo@email.com,980123479,PREMIUM,NORTE,AGC-SUR-001,BURO,NATURAL
